Year,Month,crimetotal,rank
2010,3,17595,1
2010,7,17520,2
2010,5,17338,3
2011,8,17139,1
2011,5,17050,2
2011,3,16951,3
2012,8,17696,1
2012,10,17477,2
2012,5,17391,3
2013,8,17329,1
2013,7,16714,2
2013,5,16671,3
2014,7,14059,1
2014,10,14031,2
2014,9,13799,3
2015,8,18951,1
2015,10,18916,2
2015,7,18528,3
2016,8,19779,1
2016,10,19615,2
2016,7,19262,3
2017,10,20400,1
2017,8,20086,2
2017,7,19997,3
2018,5,20248,1
2018,7,19972,2
2018,10,19814,3
2019,7,19338,1
2019,8,19074,2
2019,3,18932,3
2020,1,18488,1
2020,2,17436,2
2020,7,17241,3
2021,11,23889,1
2021,10,23882,2
2021,12,23852,3
2022,5,21090,1
2022,1,20845,2
2022,8,20760,3
2023,8,20408,1
2023,10,20385,2
2023,1,20276,3
