division,average_distance,#
77TH STREET,5.7357501004635365,16571
SOUTHEAST,13.787480675161621,12929
NEWTON,9.861640507149236,9623
SOUTHWEST,4.156142137614243,8642
HOLLENBECK,14.9843307261056,6119
HARBOR,13.330647157688523,5448
RAMPART,4.096156928334822,4999
MISSION,7.538474085168183,4464
OLYMPIC,1.8335794837217305,4336
FOOTHILL,3.803698582865345,3943
NORTHEAST,10.44036218045384,3850
HOLLYWOOD,12.055305932102,3563
CENTRAL,4.745186005549935,3486
WILSHIRE,13.33064145243726,3431
NORTH HOLLYWOOD,13.839029483391347,3397
WEST VALLEY,17.06815504871708,2792
VAN NUYS,2.2148398439548056,2649
PACIFIC,13.248616044830678,2648
DEVONSHIRE,18.52927319141592,2605
TOPANGA,3.4792441420192524,2313
WEST LOS ANGELES,12.60221985116883,1511
